date,commits,authors
2013-09-05,1,1
2013-09-06,3,1
2013-09-09,6,1
2013-09-10,2,1
2013-09-11,1,1
2013-09-12,1,1
2013-09-13,3,3
2013-09-16,1,1
2013-09-17,1,1
2013-09-18,1,1
2013-09-24,2,1
2013-09-26,2,1
2013-10-01,2,2
2013-10-02,6,1
2013-10-03,1,1
2013-10-04,2,1
2013-10-07,1,1
2013-10-08,2,1
2013-10-09,4,3
2013-10-10,2,2
2013-10-11,2,1
2013-10-15,3,1
2013-10-16,2,2
2013-10-20,8,1
2013-10-21,14,1
2013-10-23,3,1
2013-10-24,1,1
2013-10-25,1,1
2013-10-30,3,2
2013-10-31,1,1
2013-11-04,4,2
2013-11-06,2,1
2013-11-07,2,1
2013-11-12,2,2
2013-11-14,6,2
2013-11-15,1,1
2013-11-20,4,2
2013-11-21,4,2
2013-11-22,4,4
2013-11-25,1,1
2013-11-27,3,3
2013-11-28,2,1
2013-11-29,3,2
2013-12-02,1,1
2013-12-04,5,2
2013-12-05,7,3
2013-12-06,5,2
2013-12-09,8,2
2013-12-10,1,1
2013-12-11,3,2
2013-12-12,15,2
2013-12-16,4,3
2013-12-17,5,3
2013-12-19,2,1
2013-12-20,9,2
2013-12-23,7,1
2013-12-24,9,1
2013-12-26,2,2
2013-12-27,1,1
2013-12-28,6,1
2013-12-30,1,1
2013-12-31,3,1
2014-01-03,2,1
2014-01-08,1,1
2014-01-10,1,1
2014-01-13,3,2
2014-01-14,3,2
2014-01-15,1,1
2014-01-16,4,2
2014-01-17,1,1
2014-01-20,4,2
2014-01-21,9,2
2014-01-22,5,3
2014-01-23,3,3
2014-01-24,3,3
2014-01-26,2,1
2014-01-27,5,3
2014-01-28,3,1
2014-01-29,3,2
2014-01-30,2,2
2014-01-31,13,4
2014-02-03,5,4
2014-02-04,3,2
2014-02-05,1,1
2014-02-06,1,1
2014-02-07,1,1
2014-02-10,1,1
2014-02-11,1,1
2014-02-12,2,2
2014-02-17,1,1
2014-02-18,5,3
2014-02-19,7,3
2014-02-20,3,3
2014-02-21,7,2
2014-02-24,7,3
2014-02-25,7,3
2014-02-26,2,2
2014-02-27,2,2
2014-02-28,5,3
2014-03-03,9,3
2014-03-04,2,2
2014-03-05,1,1
2014-03-06,4,2
2014-03-07,1,1
2014-03-10,3,1
2014-03-11,3,3
2014-03-12,2,1
2014-03-13,8,3
2014-03-17,1,1
2014-03-18,4,2
2014-03-19,3,2
2014-03-20,3,1
2014-03-21,1,1
2014-03-24,8,2
2014-03-25,1,1
2014-03-26,5,2
2014-03-27,3,2
2014-03-28,3,3
2014-03-30,1,1
2014-03-31,3,3
2014-04-01,7,3
2014-04-02,1,1
2014-04-03,7,3
2014-04-04,6,3
2014-04-07,1,1
2014-04-08,11,2
2014-04-09,2,1
2014-04-10,4,2
2014-04-11,7,2
2014-04-14,8,1
2014-04-15,10,2
2014-04-16,6,2
2014-04-17,2,2
2014-04-22,7,1
2014-04-23,2,1
2014-04-24,3,1
2014-04-28,1,1
2014-04-29,5,2
2014-04-30,4,1
2014-05-02,1,1
2014-05-05,8,4
2014-05-06,3,3
2014-05-07,1,1
2014-05-09,1,1
2014-05-12,3,2
2014-05-14,4,2
2014-05-15,4,3
2014-05-16,4,2
2014-05-19,8,3
2014-05-20,2,2
2014-05-21,3,3
2014-05-22,4,2
2014-05-23,5,3
2014-05-26,10,2
2014-05-27,6,2
2014-05-28,10,3
2014-06-02,7,2
2014-06-03,10,3
2014-06-04,1,1
2014-06-05,1,1
2014-06-10,2,2
2014-06-11,2,2
2014-06-12,6,2
2014-06-16,4,4
2014-06-17,2,2
2014-06-18,1,1
2014-06-19,1,1
2014-06-24,1,1
2014-06-25,3,3
2014-06-26,3,2
2014-06-27,5,3
2014-07-02,4,1
2014-07-03,2,1
2014-07-04,1,1
2014-07-08,6,2
2014-07-09,1,1
2014-07-10,3,2
2014-07-16,5,2
2014-07-17,1,1
2014-07-21,1,1
2014-07-22,1,1
2014-07-23,1,1
2014-07-24,2,2
2014-07-25,2,1
2014-07-28,2,2
2014-07-29,1,1
2014-07-30,1,1
2014-07-31,4,3
2014-08-05,6,3
2014-08-06,3,2
2014-08-07,6,2
2014-08-08,5,3
2014-08-11,1,1
2014-08-12,6,1
2014-08-13,4,3
2014-08-14,7,4
2014-08-17,3,1
2014-08-18,2,2
2014-08-20,4,4
2014-08-21,2,2
2014-08-22,4,3
2014-08-25,8,5
2014-08-26,4,4
2014-08-27,12,5
2014-08-28,4,4
2014-08-29,10,7
2014-09-01,7,5
2014-09-02,4,3
2014-09-03,2,2
2014-09-04,5,4
2014-09-05,5,3
2014-09-06,3,1
2014-09-08,3,3
2014-09-09,6,6
2014-09-10,3,3
2014-09-11,6,4
2014-09-12,5,3
2014-09-15,4,3
2014-09-16,4,3
2014-09-17,3,3
2014-09-18,10,6
2014-09-19,5,5
2014-09-22,4,4
2014-09-23,8,4
2014-09-24,4,3
2014-09-25,5,4
2014-09-26,4,3
2014-09-29,7,1
2014-09-30,6,4
2014-10-01,8,5
2014-10-02,11,4
2014-10-03,8,5
2014-10-06,8,2
2014-10-07,5,3
2014-10-08,5,1
2014-10-09,2,2
2014-10-10,1,1
2014-10-13,6,3
2014-10-14,8,5
2014-10-15,5,3
2014-10-16,8,5
2014-10-17,5,4
2014-10-20,12,3
2014-10-21,10,4
2014-10-22,8,6
2014-10-23,6,4
2014-10-24,11,3
2014-10-27,1,1
2014-10-28,2,2
2014-10-29,5,3
2014-10-30,2,2
2014-10-31,3,2
2014-11-03,3,3
2014-11-04,3,2
2014-11-05,1,1
2014-11-06,2,2
2014-11-07,5,2
2014-11-10,1,1
2014-11-12,1,1
2014-11-13,5,3
2014-11-14,3,1
2014-11-17,7,2
2014-11-18,2,2
